Country,Total Export,Total Import
Austria,1791286.4000000001,2399485.87
Belgium,553050.3,7302048.67
Bulgaria,2815532.31,313025.91000000003
Croatia,889066.53,191049.01
Czechia,6268743.550000001,268648.88
Denmark,378550.21,538982.6
Estonia,446431.68,35865.28
Finland,84458.26,20688.239999999998
France,14376675.2,515944.91000000003
Germany,7126805.1,12232551.8
Greece,1310924.45,1304737.1
Hungary,6984111.18,334092.20999999996
Ireland,1949.01,687263.02
Italy,123551.28,11829312.33
Latvia,496788.38,1020163.04
Lithuania,1884570.76,142138.56
Luxembourg,62602.58,261343.65
Malta,33.07,32744.58
Netherlands (Kingdom of the),544720.46,8064508.39
Poland,3651703.5900000003,1138727.2
Portugal,36009.62,1728950.02
Romania,2835476.37,932152.47
Slovakia,2741454.65,84771.54
Slovenia,741257.61,247677.23
Spain,576605.38,5343832.8
Sweden,493866.62,245519.24
